"COU","Country","IND","Indicator","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"CAN","Canada","HPI_YDH_AVG","Standardised price-income ratio","1998","1998","1","RATIOS","0","Units",,,79.349891208219,,
"CAN","Canada","HPI_YDH_AVG","Standardised price-income ratio","1998-Q1","Q1-1998","1","RATIOS","0","Units",,,80.6281525151806,,
"CAN","Canada","HPI_YDH_AVG","Standardised price-income ratio","1998-Q2","Q2-1998","1","RATIOS","0","Units",,,80.1266049156681,,
"CAN","Canada","HPI_YDH_AVG","Standardised price-income ratio","1998-Q3","Q3-1998","1","RATIOS","0","Units",,,78.420209585179,,
"CAN","Canada","HPI_YDH_AVG","Standardised price-income ratio","1998-Q4","Q4-1998","1","RATIOS","0","Units",,,78.2245978168484,,
"CAN","Canada","HPI_YDH_AVG","Standardised price-income ratio","1999","1999","1","RATIOS","0","Units",,,78.2963009838888,,
"CAN","Canada","HPI_YDH_AVG","Standardised price-income ratio","1999-Q1","Q1-1999","1","RATIOS","0","Units",,,78.7267261659526,,
"CAN","Canada","HPI_YDH_AVG","Standardised price-income ratio","1999-Q2","Q2-1999","1","RATIOS","0","Units",,,78.4966640392126,,
"CAN","Canada","HPI_YDH_AVG","Standardised price-income ratio","1999-Q3","Q3-1999","1","RATIOS","0","Units",,,77.9419196978202,,
"CAN","Canada","HPI_YDH_AVG","Standardised price-income ratio","1999-Q4","Q4-1999","1","RATIOS","0","Units",,,78.0198940325699,,
"CAN","Canada","HPI_YDH_AVG","Standardised price-income ratio","2000","2000","1","RATIOS","0","Units",,,77.2472260891383,,
"CAN","Canada","HPI_YDH_AVG","Standardised price-income ratio","2000-Q1","Q1-2000","1","RATIOS","0","Units",,,77.7994553451633,,
"CAN","Canada","HPI_YDH_AVG","Standardised price-income ratio","2000-Q2","Q2-2000","1","RATIOS","0","Units",,,77.5971992876631,,
"CAN","Canada","HPI_YDH_AVG","Standardised price-income ratio","2000-Q3","Q3-2000","1","RATIOS","0","Units",,,77.0597317813106,,
"CAN","Canada","HPI_YDH_AVG","Standardised price-income ratio","2000-Q4","Q4-2000","1","RATIOS","0","Units",,,76.5325179424161,,
"CAN","Canada","HPI_YDH_AVG","Standardised price-income ratio","2001","2001","1","RATIOS","0","Units",,,78.3069899577954,,
"CAN","Canada","HPI_YDH_AVG","Standardised price-income ratio","2001-Q1","Q1-2001","1","RATIOS","0","Units",,,76.2971974165185,,
"CAN","Canada","HPI_YDH_AVG","Standardised price-income ratio","2001-Q2","Q2-2001","1","RATIOS","0","Units",,,78.9651789446012,,
"CAN","Canada","HPI_YDH_AVG","Standardised price-income ratio","2001-Q3","Q3-2001","1","RATIOS","0","Units",,,78.6937302615302,,
"CAN","Canada","HPI_YDH_AVG","Standardised price-income ratio","2001-Q4","Q4-2001","1","RATIOS","0","Units",,,79.2718532085319,,
"CAN","Canada","HPI_YDH_AVG","Standardised price-income ratio","2002","2002","1","RATIOS","0","Units",,,82.0269605312235,,
"CAN","Canada","HPI_YDH_AVG","Standardised price-income ratio","2002-Q1","Q1-2002","1","RATIOS","0","Units",,,79.3260915054896,,
"CAN","Canada","HPI_YDH_AVG","Standardised price-income ratio","2002-Q2","Q2-2002","1","RATIOS","0","Units",,,82.1683339933208,,
"CAN","Canada","HPI_YDH_AVG","Standardised price-income ratio","2002-Q3","Q3-2002","1","RATIOS","0","Units",,,83.0062487518422,,
"CAN","Canada","HPI_YDH_AVG","Standardised price-income ratio","2002-Q4","Q4-2002","1","RATIOS","0","Units",,,83.6071678742413,,
"CAN","Canada","HPI_YDH_AVG","Standardised price-income ratio","2003","2003","1","RATIOS","0","Units",,,86.6344822120903,,
"CAN","Canada","HPI_YDH_AVG","Standardised price-income ratio","2003-Q1","Q1-2003","1","RATIOS","0","Units",,,85.015194917345,,
"CAN","Canada","HPI_YDH_AVG","Standardised price-income ratio","2003-Q2","Q2-2003","1","RATIOS","0","Units",,,85.4198397099056,,
"CAN","Canada","HPI_YDH_AVG","Standardised price-income ratio","2003-Q3","Q3-2003","1","RATIOS","0","Units",,,87.2728950410407,,
"CAN","Canada","HPI_YDH_AVG","Standardised price-income ratio","2003-Q4","Q4-2003","1","RATIOS","0","Units",,,88.82999918007,,
"CAN","Canada","HPI_YDH_AVG","Standardised price-income ratio","2004","2004","1","RATIOS","0","Units",,,89.959616237937,,
"CAN","Canada","HPI_YDH_AVG","Standardised price-income ratio","2004-Q1","Q1-2004","1","RATIOS","0","Units",,,89.558451505601,,
"CAN","Canada","HPI_YDH_AVG","Standardised price-income ratio","2004-Q2","Q2-2004","1","RATIOS","0","Units",,,89.3469752369711,,
"CAN","Canada","HPI_YDH_AVG","Standardised price-income ratio","2004-Q3","Q3-2004","1","RATIOS","0","Units",,,90.0799113250385,,
"CAN","Canada","HPI_YDH_AVG","Standardised price-income ratio","2004-Q4","Q4-2004","1","RATIOS","0","Units",,,90.8531268841373,,
"CAN","Canada","HPI_YDH_AVG","Standardised price-income ratio","2005","2005","1","RATIOS","0","Units",,,93.7963539643853,,
"CAN","Canada","HPI_YDH_AVG","Standardised price-income ratio","2005-Q1","Q1-2005","1","RATIOS","0","Units",,,93.5867460691813,,
"CAN","Canada","HPI_YDH_AVG","Standardised price-income ratio","2005-Q2","Q2-2005","1","RATIOS","0","Units",,,93.2753532761817,,
"CAN","Canada","HPI_YDH_AVG","Standardised price-income ratio","2005-Q3","Q3-2005","1","RATIOS","0","Units",,,93.3016586431522,,
"CAN","Canada","HPI_YDH_AVG","Standardised price-income ratio","2005-Q4","Q4-2005","1","RATIOS","0","Units",,,95.0216578690258,,
"CAN","Canada","HPI_YDH_AVG","Standardised price-income ratio","2006","2006","1","RATIOS","0","Units",,,98.6879183315286,,
"CAN","Canada","HPI_YDH_AVG","Standardised price-income ratio","2006-Q1","Q1-2006","1","RATIOS","0","Units",,,95.1206024126713,,
"CAN","Canada","HPI_YDH_AVG","Standardised price-income ratio","2006-Q2","Q2-2006","1","RATIOS","0","Units",,,98.2580082497854,,
"CAN","Canada","HPI_YDH_AVG","Standardised price-income ratio","2006-Q3","Q3-2006","1","RATIOS","0","Units",,,100.422229831406,,
"CAN","Canada","HPI_YDH_AVG","Standardised price-income ratio","2006-Q4","Q4-2006","1","RATIOS","0","Units",,,100.950832832251,,
"CAN","Canada","HPI_YDH_AVG","Standardised price-income ratio","2007","2007","1","RATIOS","0","Units",,,105.167566463904,,
"CAN","Canada","HPI_YDH_AVG","Standardised price-income ratio","2007-Q1","Q1-2007","1","RATIOS","0","Units",,,100.455100061554,,
"CAN","Canada","HPI_YDH_AVG","Standardised price-income ratio","2007-Q2","Q2-2007","1","RATIOS","0","Units",,,105.441734207176,,
"CAN","Canada","HPI_YDH_AVG","Standardised price-income ratio","2007-Q3","Q3-2007","1","RATIOS","0","Units",,,107.228971070095,,
"CAN","Canada","HPI_YDH_AVG","Standardised price-income ratio","2007-Q4","Q4-2007","1","RATIOS","0","Units",,,107.54446051679,,
"CAN","Canada","HPI_YDH_AVG","Standardised price-income ratio","2008","2008","1","RATIOS","0","Units",,,105.734842154169,,
"CAN","Canada","HPI_YDH_AVG","Standardised price-income ratio","2008-Q1","Q1-2008","1","RATIOS","0","Units",,,107.211222973249,,
"CAN","Canada","HPI_YDH_AVG","Standardised price-income ratio","2008-Q2","Q2-2008","1","RATIOS","0","Units",,,106.825451174285,,
"CAN","Canada","HPI_YDH_AVG","Standardised price-income ratio","2008-Q3","Q3-2008","1","RATIOS","0","Units",,,105.352621838098,,
"CAN","Canada","HPI_YDH_AVG","Standardised price-income ratio","2008-Q4","Q4-2008","1","RATIOS","0","Units",,,103.550072631044,,
"CAN","Canada","HPI_YDH_AVG","Standardised price-income ratio","2009","2009","1","RATIOS","0","Units",,,103.46057298535,,
"CAN","Canada","HPI_YDH_AVG","Standardised price-income ratio","2009-Q1","Q1-2009","1","RATIOS","0","Units",,,101.605347957769,,
